,Product_1,Product_2,Product_3,Product_4,Product_5
14069536,50317255,74623725,31602057,20139040,51571587
14071430,12238762,7092227,12236983,10735333,13583766
14071985,50587112,44038577,14142567,14072222,14072065
14072065,50587112,44038577,14142567,14072222,14071985
14072222,50587112,44038577,14142567,14072065,14071985
14078676,2054469,5986499,51510460,3524487,5844567
14084476,16520424,16519193,11213994,31820638,23865953
14089823,59168467,31602057,74247140,14790642,70772235
14104437,44579109,14261773,562585,467462,8304191
14104450,10719006,50569192,50586365,50587112,32809813
14104460,59411891,32021463,44003914,12321426,25292548
14116368,6009539,6039405,6841341,28437643,6376015
14127369,11199435,44567597,44224953,7986170,4747467
14142567,44038577,50587112,14071985,14072065,14072222
14143226,845378,36995341,53639849,29114376,29114814
14144660,9799302,14071985,14072065,14072222,14142567
14144854,459077,547563,459084,68828151,546664
14147868,7140249,37944329,66541696,68359249,56313543
14186220,76198199,52562646,11443614,54384395,34709360
1418743,8820501,3717703,2640471,75453884,3666899
14198289,35580965,74304197,69459839,36020972,36275060
14241258,25309442,34723316,11245618,10806848,15079790
14258477,4727059,950402,4738525,13406602,13410814
14260356,415060,415071,415086,415050,4727349
14261761,15669042,32833167,14039112,15669028,32346702
14261773,562585,14241258,6934901,14104437,8304191
14265753,71655498,66650870,16262699,24865067,13781962
14270619,21973916,25231861,6715805,16717623,15096383
14275735,21221639,16717623,11858913,55585425,11370580
14293641,8315202,22883541,6410691,6410757,6410735
14298446,518633,44224953,4747467,11199435,71062970
14301144,491362,21526737,1582161,12011497,9850897
14313154,46193718,25696258,53631890,50253867,26029929
14349619,9839803,23068516,69192869,11370697,21193149
14365016,24969443,50273712,67845003,27147619,21261960
14372277,44633444,20352015,23068516,22048214,12391802
14374967,16626395,23852057,19992185,10678416,19992253
14388647,25006660,575388,311788,26029837,3831591
14438455,168994,19285345,198233,37834745,52846433
14445247,37000902,37000912,20475644,64319112,46755511
14449573,689063,21459682,2066599,6841341,10732310
14450065,50091437,9799302,35722087,14450158,14585382
14450158,50091437,9799302,35722087,14450065,14585382
14463242,1534583,51235932,51235948,1534275,20549990
14469139,17620717,71062304,51987865,7458771,16572969
14496225,15013997,72004658,53447698,11477102,74246209
14497415,381162,1530451,44887514,2383179,55930758
14497425,1534275,1533113,1530039,1534193,1534583
14507169,36264193,67216147,28623307,44106461,66773643
14510413,9977527,24787428,605223,75615357,49202762
14518091,17475042,41446843,40547505,17474656,17473989
14519500,56799815,53978256,23057599,49636672,48701295
14524994,29455014,17474656,17473989,40547505,41446843
14525848,52646223,50560408,55096350,1733749,14534789
14534789,55239002,1534589,55096350,1733749,14525848
14536798,56320903,17919303,38103802,56309551,14578165
14565127,46654004,7816939,21402325,24456725,36344502
14566322,713247,3560691,712283,14566337,14569063
14566337,10766617,712283,36029669,14566322,14569063
14569063,10766617,713247,712283,14566322,14566337
1457747,4026423,487524,8090713,1516999,1517005
14578165,4708475,17919303,38103802,56309551,14536798
14585382,9799302,50091437,35722087,14450065,14450158
14606621,52850318,11094090,32308294,13678777,15475469
14612949,74853954,22568380,34575579,20244830,26103566
1464043,65439712,65439716,65439714,65453422,48319361
14645571,70773221,2130377,73248536,2130371,73247867
14681554,10581170,67069703,57452525,3237483,58251130
14706909,20585805,24766023,20586805,56320903,45123323
14707617,3524487,26289675,53639147,51510460,2001029
14785024,643138,3171419,73922514,10576733,25770121
14786776,17618382,21442742,7801273,48184433,35328686
14790642,75574549,74141526,70772235,74247140,59168467
14815404,817884,68821409,21035641,817776,13335028
14845231,21921714,55320027,9839803,22363766,22364222
14867785,40823887,40823013,25731976,33158589,7546725
14868418,72928043,58215473,58291928,58298489,16860936
14904115,3663329,20997533,40369758,49291897,14904488
14904488,51436880,3663329,40369758,14904115,49291897
14928769,5050641,26288854,48701295,76192331,12431885
14934071,1954207,15647652,19552942,19447382,14934073
14934073,1954207,15647659,16944457,19552942,14934071
14966475,33943919,54450887,35597748,19775193,19774958
14970347,49658272,69238917,80850379,1995735,56515332
1498487,711112,1760987,21022062,2680853,2682881
14990454,43349411,52241344,66622335,7770389,45842739
14997230,10593537,8290598,7496499,23107340,11718677
1500863,1516999,3220933,1517005,3770729,4026423
15013997,7589409,8003987,23482495,255023,53447698
1501727,7319551,3818775,3818757,1502145,4296707
1501767,71672203,3770729,72308191,72308418,72307761
1502145,1501727,4296707,7318823,7319551,7319751
15073893,28414681,77324966,17946135,26334631,32933371
15079790,34723316,56320903,10806848,23852057,14241258
1508575,54406076,36995341,2080951,44065922,1353567
15088370,52487273,48483174,77718549,25062191,25171293
15096383,21973916,25231861,6715805,16717623,14270619
15129417,11633356,59302735,51352620,46156090,10585231
15132981,4713017,4713035,10603363,27856093,14270619
1513667,52695502,52696541,1676077,52702602,1675793
15163759,8163884,14116368,10138000,26473455,45048475
1516999,3770729,461040,1457747,8090713,1517005
1517005,461038,1500863,586849,1516999,1457747
15183957,4981857,13150843,26689717,26691653,524227
15212692,21126896,4727019,65576750,4727085,61818978
15216943,54440051,74496917,74860089,71674971,11239836
15219201,26166686,448538,23802806,27654198,27655381
15222490,71112373,33740551,55244517,6771887,15227544
15226911,15129417,75301142,6082263,21459682,11676550
15227544,6771887,71112373,33740551,55244517,15222490
1523227,51729979,2901371,29837913,75514309,16675019
15239910,52696541,52695502,52695829,13329855,15239985
15239985,52696541,52695502,52695829,13329855,15239910
1524461,10671551,22436063,25468367,5511229,17929212
1524463,22436063,17929212,25468367,1524461,10671551
15246396,35909293,50438593,50117543,32223343,31520349
15250235,551264,41819516,24736190,11204813,45339653
15266469,20583267,20424158,20425151,7634494,7634857
15267455,25402524,59411891,32021463,843460,4755373
15270539,46178917,74162456,456525,72672762,74209127
15280632,37944329,58736477,58731373,66541696,29655357
15287960,46134868,1074044,6934901,784972,6921787
1530039,14497425,1534275,1534583,1534193,1533113
1530451,29837913,419322,73685012,11849226,44887514
1533113,14497425,1534275,1534583,1534193,1530039
15333988,12030322,56200767,11664604,11510490,54818164
15335893,43973407,459632,8608925,12071716,459733
1534193,1534589,1534275,1530039,1533113,1534583
1534195,54570736,49228385,49228371,10994476,1534205
1534205,54570736,49228371,49228385,10994476,1534195
1534275,1534589,1530039,1533113,1534193,1534583
1534583,14497425,1533113,1534275,1534193,1534589
1534589,14497425,1533113,1534275,1534193,1534583
1534745,51235942,47624197,588949,47624195,1534749
1534749,51235942,47624197,588949,47624195,1534745
15350656,44349631,42126872,16106838,58667989,25753906
15351084,7458771,16293310,51615378,51987865,75649461
15351864,21921714,55320027,50193517,11370697,21176086
15356062,15351084,51615378,51987865,16293310,16308170
1536285,6539103,53635028,708026,68828151,44984825
15377266,13307708,4727887,21221639,2020929,71641304
15380161,10751487,9488961,15971921,19583872,55934345
15388586,19408798,10777563,51571587,14069536,31602057
15410431,1908869,23068516,11370697,9839803,44633444
15412477,8826583,40351876,3428585,28754687,25309442
15432912,15956101,41574489,25062191,26473455,16217227
15445767,68828151,12108701,48509229,5446101,2784543
15475469,52850318,11094090,32308294,13678777,14606621
15506461,55146278,72036884,56903194,23371648,48278979
15513844,52850318,15475469,14606621,32308294,13678777
15514958,29837913,2086067,16314108,16208533,7117761
15541681,76364920,8406093,10644571,12379747,17686592
15590216,76198199,72575377,75641272,76310232,7994852
15595231,58298176,71674971,11239836,11216859,13335112
15596190,6703629,19763559,71293311,19763768,15597935
15597935,6703629,19763559,71293311,19763768,15596190
15598839,20521067,20519658,48260148,20555138,20555355
15623237,4794489,4796403,16398913,460145,52433106
15647652,1954207,54181973,57422387,59581811,15647659
15647659,19552942,19447382,59581811,16944457,15647652
15659038,3527007,557163,1406949,10566733,15668735
15668735,3155853,557163,15659038,1406949,10566733
15669028,53444660,57811160,33115720,14039112,48430140
15669042,32833167,6478415,2246513,6921779,15927481
15669084,49227944,28326201,28326998,2416333,4364947
15669197,15669028,32833167,6478415,14039112,32346702
15669226,15669042,19351442,15927481,33115720,54353418
15672319,21180803,68359249,37878694,15972213,9381544
15674038,54021947,74559331,22179387,7011135,20412302
15682170,1059892,234886,44227610,44232899,3220143
15792427,17686592,16460956,10866806,55320027,44633444
15806904,29248122,29248124,29246344,43985669,15806909
15806909,29248122,29246344,29248124,43985669,15806904
1582161,14301144,67991056,12011510,491362,465219
